nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_006047	NA	turquoise
Tsubulata_006058	NA	turquoise
Tsubulata_006068	NA	turquoise
Tsubulata_006074	NA	turquoise
Tsubulata_006097	NA	turquoise
Tsubulata_006113	NA	turquoise
Tsubulata_006133	NA	turquoise
Tsubulata_006134	NA	turquoise
Tsubulata_006143	NA	turquoise
Tsubulata_006145	NA	turquoise
Tsubulata_006147	NA	turquoise
Tsubulata_006148	NA	turquoise
Tsubulata_006155	NA	turquoise
Tsubulata_006156	NA	turquoise
Tsubulata_006157	NA	turquoise
Tsubulata_006162	NA	turquoise
Tsubulata_006210	NA	turquoise
Tsubulata_006214	NA	turquoise
Tsubulata_006215	NA	turquoise
Tsubulata_006219	NA	turquoise
Tsubulata_006220	NA	turquoise
Tsubulata_006223	NA	turquoise
Tsubulata_006272	NA	turquoise
Tsubulata_006283	NA	turquoise
Tsubulata_006286	NA	turquoise
Tsubulata_006311	NA	turquoise
Tsubulata_006323	NA	turquoise
Tsubulata_006330	NA	turquoise
Tsubulata_006331	NA	turquoise
Tsubulata_006338	NA	turquoise
Tsubulata_006339	NA	turquoise
Tsubulata_006340	NA	turquoise
Tsubulata_006343	NA	turquoise
Tsubulata_006373	NA	turquoise
Tsubulata_006387	NA	turquoise
Tsubulata_006388	NA	turquoise
Tsubulata_006392	NA	turquoise
Tsubulata_006393	NA	turquoise
Tsubulata_006405	NA	turquoise
Tsubulata_006409	NA	turquoise
Tsubulata_006417	NA	turquoise
Tsubulata_006426	NA	turquoise
Tsubulata_006435	NA	turquoise
Tsubulata_006437	NA	turquoise
Tsubulata_006445	NA	magenta
Tsubulata_006451	NA	magenta
Tsubulata_006496	NA	turquoise
Tsubulata_006497	NA	turquoise
Tsubulata_006499	NA	turquoise
Tsubulata_006500	NA	turquoise
Tsubulata_006506	NA	turquoise
Tsubulata_006507	NA	turquoise
Tsubulata_006515	NA	magenta
Tsubulata_006523	NA	turquoise
Tsubulata_006524	NA	turquoise
Tsubulata_006558	NA	turquoise
Tsubulata_006599	NA	turquoise
Tsubulata_006608	NA	turquoise
Tsubulata_006616	NA	turquoise
Tsubulata_006620	NA	turquoise
Tsubulata_006624	NA	turquoise
Tsubulata_006637	NA	turquoise
Tsubulata_006642	NA	turquoise
Tsubulata_006643	NA	magenta
Tsubulata_006645	NA	turquoise
Tsubulata_006646	NA	turquoise
Tsubulata_006649	NA	turquoise
Tsubulata_006677	NA	turquoise
Tsubulata_006678	NA	turquoise
Tsubulata_006680	NA	turquoise
Tsubulata_006697	NA	turquoise
Tsubulata_006701	NA	turquoise
Tsubulata_006705	NA	turquoise
Tsubulata_006708	NA	turquoise
Tsubulata_006716	NA	turquoise
Tsubulata_006718	NA	turquoise
Tsubulata_006720	NA	turquoise
Tsubulata_006751	NA	turquoise
Tsubulata_006753	NA	turquoise
Tsubulata_006757	NA	turquoise
Tsubulata_006796	NA	turquoise
Tsubulata_006801	NA	turquoise
Tsubulata_006803	NA	turquoise
Tsubulata_006812	NA	turquoise
Tsubulata_006829	NA	turquoise
Tsubulata_006830	NA	turquoise
Tsubulata_006879	NA	turquoise
Tsubulata_006888	NA	turquoise
Tsubulata_006902	NA	turquoise
Tsubulata_006913	NA	turquoise
Tsubulata_006921	NA	turquoise
Tsubulata_006922	NA	turquoise
Tsubulata_006924	NA	turquoise
Tsubulata_006926	NA	magenta
Tsubulata_006959	NA	turquoise
Tsubulata_006968	NA	turquoise
Tsubulata_006976	NA	turquoise
Tsubulata_006984	NA	turquoise
Tsubulata_007000	NA	turquoise
Tsubulata_007001	NA	turquoise
Tsubulata_007006	NA	turquoise
Tsubulata_007029	NA	turquoise
Tsubulata_007030	NA	turquoise
Tsubulata_007039	NA	turquoise
Tsubulata_007057	NA	turquoise
Tsubulata_007062	NA	turquoise
Tsubulata_007070	NA	turquoise
Tsubulata_007080	NA	turquoise
Tsubulata_007095	NA	turquoise
Tsubulata_007101	NA	turquoise
Tsubulata_007135	NA	turquoise
Tsubulata_007136	NA	turquoise
Tsubulata_007186	NA	turquoise
Tsubulata_007189	NA	turquoise
Tsubulata_007201	NA	turquoise
Tsubulata_007205	NA	turquoise
Tsubulata_007213	NA	turquoise
Tsubulata_007218	NA	turquoise
Tsubulata_007222	NA	turquoise
Tsubulata_007262	NA	magenta
Tsubulata_007274	NA	turquoise
Tsubulata_007286	NA	turquoise
Tsubulata_007288	NA	turquoise
Tsubulata_007290	NA	turquoise
Tsubulata_007330	NA	turquoise
Tsubulata_007335	NA	turquoise
Tsubulata_007337	NA	turquoise
Tsubulata_007338	NA	turquoise
Tsubulata_007345	NA	turquoise
Tsubulata_007346	NA	turquoise
Tsubulata_007349	NA	turquoise
Tsubulata_007375	NA	turquoise
Tsubulata_007401	NA	turquoise
Tsubulata_007403	NA	turquoise
Tsubulata_007404	NA	turquoise
Tsubulata_007419	NA	turquoise
Tsubulata_007429	NA	turquoise
Tsubulata_007431	NA	turquoise
Tsubulata_007433	NA	turquoise
Tsubulata_007434	NA	turquoise
Tsubulata_007445	NA	turquoise
Tsubulata_007452	NA	turquoise
Tsubulata_007456	NA	turquoise
Tsubulata_007461	NA	turquoise
Tsubulata_007473	NA	turquoise
Tsubulata_007490	NA	turquoise
Tsubulata_007491	NA	turquoise
Tsubulata_007500	NA	turquoise
Tsubulata_007502	NA	turquoise
Tsubulata_007505	NA	turquoise
Tsubulata_007535	NA	turquoise
Tsubulata_007541	NA	turquoise
Tsubulata_007543	NA	turquoise
Tsubulata_007549	NA	turquoise
Tsubulata_007557	NA	turquoise
Tsubulata_007573	NA	turquoise
Tsubulata_007576	NA	turquoise
Tsubulata_007599	NA	turquoise
Tsubulata_007607	NA	turquoise
Tsubulata_007621	NA	turquoise
Tsubulata_007625	NA	turquoise
Tsubulata_007666	NA	turquoise
Tsubulata_007671	NA	turquoise
Tsubulata_007683	NA	turquoise
Tsubulata_007690	NA	magenta
Tsubulata_007711	NA	turquoise
Tsubulata_007712	NA	turquoise
Tsubulata_007718	NA	turquoise
Tsubulata_007745	NA	magenta
Tsubulata_007748	NA	turquoise
Tsubulata_007749	NA	turquoise
Tsubulata_007751	NA	turquoise
Tsubulata_007752	NA	turquoise
Tsubulata_007753	NA	turquoise
Tsubulata_007766	NA	turquoise
Tsubulata_007768	NA	turquoise
Tsubulata_007816	NA	turquoise
Tsubulata_007847	NA	turquoise
Tsubulata_007854	NA	turquoise
Tsubulata_007855	NA	magenta
Tsubulata_007869	NA	turquoise
Tsubulata_007878	NA	turquoise
Tsubulata_007899	NA	turquoise
Tsubulata_007901	NA	turquoise
Tsubulata_007904	NA	turquoise
Tsubulata_007915	NA	turquoise
Tsubulata_007922	NA	magenta
Tsubulata_007931	NA	turquoise
Tsubulata_007939	NA	turquoise
Tsubulata_007940	NA	magenta
Tsubulata_007949	NA	turquoise
Tsubulata_007950	NA	turquoise
Tsubulata_007960	NA	turquoise
Tsubulata_007967	NA	magenta
Tsubulata_007976	NA	turquoise
Tsubulata_007981	NA	magenta
Tsubulata_007988	NA	turquoise
Tsubulata_007998	NA	turquoise
Tsubulata_008039	NA	magenta
Tsubulata_008088	NA	turquoise
Tsubulata_008098	NA	turquoise
Tsubulata_008107	NA	turquoise
Tsubulata_008129	NA	turquoise
Tsubulata_008130	NA	turquoise
Tsubulata_008140	NA	turquoise
Tsubulata_008143	NA	turquoise
Tsubulata_008146	NA	turquoise
Tsubulata_008170	NA	magenta
Tsubulata_008216	NA	turquoise
Tsubulata_008217	NA	turquoise
Tsubulata_008222	NA	magenta
Tsubulata_008228	NA	turquoise
Tsubulata_008230	NA	turquoise
