ID	2024 Tjoelii S-morph Mature Bud Average expression	2024 Tjoelii SC mutant (S) Mature Bud Average expression	2024 Tjoelii L-morph Mature Bud Average expression
Tsubulata_000647	320.2896423	405.2486725	346.8661197
Tsubulata_000648	25.73995733	45.605377	19.59534967
Tsubulata_000649	48.86129767	86.2395855	39.69804667
Tsubulata_000650	8.469218	9.1846895	41.18807867
Tsubulata_000651	2.990348667	12.8785645	1.299354333
Tsubulata_000653	28.43160333	28.7217465	24.11191567
Tsubulata_000654	21.71418633	3.8341705	5.663458333
Tsubulata_000655	0	0	0
Tsubulata_000656	0	0	1.039936667
Tsubulata_000657	2.420679667	0.489564	1.069054667
Tsubulata_000658	23.21184167	30.1898955	22.63338067
Tsubulata_000659	7.487708667	15.2102945	6.63909
Tsubulata_000660	4.813233667	4.885521	4.858138667
Tsubulata_000661	53.06595867	67.7047005	34.019773
Tsubulata_000662	5.873626333	5.3173415	5.545964333
Tsubulata_000663	26.29027567	29.1599105	28.38745567
Tsubulata_000664	207.1400147	269.9723205	190.125346
Tsubulata_000665	24.56098633	28.7794945	21.54106633
Tsubulata_000668	0	0	0
Tsubulata_000669	0	0	0
Tsubulata_000670	0	0	0
Tsubulata_000671	0	0	0
Tsubulata_000672	0	0	0
Tsubulata_000673	24.81128567	4.514988	0.753620667
Tsubulata_000676	6.295345333	8.116341	2.153073333
Tsubulata_000678	1.784157667	1.90344	0.746137667
Tsubulata_000679	0	0	0
Tsubulata_000681	0	0	0
Tsubulata_000682	119.5317257	85.4786685	88.217125
Tsubulata_000683	26.14624733	34.8859745	20.158584
Tsubulata_000684	0.067181667	0.3555435	0
Tsubulata_000685	0.402738667	0.400456	0.071123667
Tsubulata_000686	117.2418977	84.529213	125.180552
Tsubulata_000687	0	0.041888	0
Tsubulata_000690	0	0	0
Tsubulata_000691	0.141137667	0.054316	0
Tsubulata_000696	0	0	0
Tsubulata_000698	0	0	0
Tsubulata_000706	48.405375	53.225157	37.80144867
Tsubulata_000707	28.433815	33.864542	28.91588333
Tsubulata_000713	0	0	0
Tsubulata_000715	0	0	0
Tsubulata_000717	0	0	0
Tsubulata_000719	11.27306067	7.2576545	15.671652
Tsubulata_000720	0	0	0
Tsubulata_000721	0	0	0
Tsubulata_000725	9.038855333	42.183405	8.087768667
Tsubulata_000726	46.83563733	65.316059	34.37030633
Tsubulata_000729	0.455249667	1.665347	0.656812667
Tsubulata_000730	55.64739733	90.36359	51.81789533
Tsubulata_000731	0	0	0
Tsubulata_000744	29.94162867	38.007624	59.31747933
Tsubulata_000745	0	0	0
Tsubulata_000750	0	0	0
Tsubulata_000757	15.318824	32.8958035	19.70182233
Tsubulata_000758	22.15484033	84.473499	26.22549767
Tsubulata_000760	105.1945063	26.1842825	127.329412
Tsubulata_000763	0	0	0
Tsubulata_000764	0	0	0
Tsubulata_000766	0	0	0
Tsubulata_000767	0	0	0
Tsubulata_000769	99.27862033	79.7807505	32.29226233
Tsubulata_000770	0.035116	0	0.138060333
Tsubulata_000771	0	0	0
Tsubulata_000772	0	0	0
Tsubulata_000775	0.439230333	3.972592	0.227484667
Tsubulata_000776	12.877274	24.2535655	16.558169
Tsubulata_000779	82.76582867	69.933811	77.76269033
Tsubulata_000781	13.87053533	19.572323	10.98936333
Tsubulata_000782	15.474663	13.397008	11.33173933
Tsubulata_000785	1.29617	1.754881	2.181777667
Tsubulata_000786	0	0.0052315	0.022007667
Tsubulata_000787	2.489186333	3.898366	1.420762667
Tsubulata_000789	26.14364767	46.00651	30.344738
Tsubulata_000790	0.137813667	1.909196	1.418871333
Tsubulata_000795	8.461121	20.1561165	7.170428333
Tsubulata_000797	92.67993667	67.407879	94.13498433
Tsubulata_000798	0	0	0
Tsubulata_000799	0	0	0
