number	feature	id	pval	ScvWtSmorphqval
11290	gene	Tsubulata_019158	0.0314931464849787	0.139203159494839
11291	gene	Tsubulata_019159	9.74020959834121e-05	0.0324194373123201
11292	gene	Tsubulata_019160	NA	NA
11293	gene	Tsubulata_019162	0.233651432397229	0.401132870962624
11294	gene	Tsubulata_019163	0.0537306324658604	0.172534758643024
11295	gene	Tsubulata_019164	0.0264361366333101	0.129066204671451
11296	gene	Tsubulata_019165	0.0488938221300339	0.164066979715903
11297	gene	Tsubulata_019166	0.992445169483892	0.995055119006777
11298	gene	Tsubulata_019167	0.00123374637188056	0.0531456135116072
11299	gene	Tsubulata_019168	0.00908187604167487	0.087378733175292
11300	gene	Tsubulata_019170	NA	NA
11301	gene	Tsubulata_019171	0.216554767414752	0.381455205752597
11302	gene	Tsubulata_019172	0.531744917186495	0.688366413661169
11303	gene	Tsubulata_019174	0.864096963195595	0.921208461093519
11304	gene	Tsubulata_019175	0.0365032312077389	0.141668749804752
11305	gene	Tsubulata_019176	NA	NA
11306	gene	Tsubulata_019178	NA	NA
11307	gene	Tsubulata_019179	NA	NA
11308	gene	Tsubulata_019180	NA	NA
11309	gene	Tsubulata_019187	NA	NA
11310	gene	Tsubulata_019191	NA	NA
11311	gene	Tsubulata_019194	NA	NA
11312	gene	Tsubulata_019196	0.450579718226427	0.617893277842518
11313	gene	Tsubulata_019197	NA	NA
11314	gene	Tsubulata_019202	0.0669231617657283	0.194551717127695
11315	gene	Tsubulata_019204	NA	NA
11316	gene	Tsubulata_019205	NA	NA
11317	gene	Tsubulata_019208	NA	NA
11318	gene	Tsubulata_019210	NA	NA
