"feature"	"id"	"pval"	"qval"
"274"	"gene"	"gene-Tsubulata_000412"	0.54532508759107	0.686769258214283
"275"	"gene"	"gene-Tsubulata_000413"	NA	NA
"276"	"gene"	"gene-Tsubulata_000414"	0.478751813659818	0.639515293842514
"277"	"gene"	"gene-Tsubulata_000416"	5.70109191356805e-05	0.00461458265930658
"278"	"gene"	"gene-Tsubulata_000421"	0.264947240425759	0.442341902537284
"279"	"gene"	"gene-Tsubulata_000422"	0.967135696180307	0.979943583118614
"280"	"gene"	"gene-Tsubulata_000423"	0.000523244489244901	0.0113624001894202
"281"	"gene"	"gene-Tsubulata_000424"	0.0267091144481635	0.0971425876633066
"282"	"gene"	"gene-Tsubulata_000428"	0.00889703892679905	0.0488789050444851
"283"	"gene"	"gene-Tsubulata_000431"	0.379901029068765	0.55259678488314
"284"	"gene"	"gene-Tsubulata_000432"	0.922703391352095	0.960359144886571
"285"	"gene"	"gene-Tsubulata_000433"	NA	NA
"286"	"gene"	"gene-Tsubulata_000434"	0.845502503048671	0.911457524240877
"287"	"gene"	"gene-Tsubulata_000439"	0.617599222461389	0.744752150042899
"288"	"gene"	"gene-Tsubulata_000440"	NA	NA
"289"	"gene"	"gene-Tsubulata_000441"	NA	NA
"290"	"gene"	"gene-Tsubulata_000442"	0.0681931187074745	0.182486665890158
"291"	"gene"	"gene-Tsubulata_000443"	0.00474039234955603	0.0335395157664842
"292"	"gene"	"gene-Tsubulata_000444"	NA	NA
"293"	"gene"	"gene-Tsubulata_000445"	0.177971872865674	0.346521997098169
"294"	"gene"	"gene-Tsubulata_000446"	0.392150370127641	0.564515577790007
"295"	"gene"	"gene-Tsubulata_000449"	0.054932996473483	0.15766913171825
"296"	"gene"	"gene-Tsubulata_000450"	0.149165994649108	0.307877908026375
"297"	"gene"	"gene-Tsubulata_000451"	0.0596672418067028	0.166870872096547
"298"	"gene"	"gene-Tsubulata_000452"	0.00961397675091835	0.0513020544729454
"299"	"gene"	"gene-Tsubulata_000454"	NA	NA
"300"	"gene"	"gene-Tsubulata_000455"	NA	NA
"301"	"gene"	"gene-Tsubulata_000456"	0.377965577258788	0.550484254665362
"302"	"gene"	"gene-Tsubulata_000457"	0.0729584026317154	0.191068076548567
"303"	"gene"	"gene-Tsubulata_000458"	0.215404737018072	0.384482324976319
"304"	"gene"	"gene-Tsubulata_000459"	0.0454265319960381	0.138741523421466
"305"	"gene"	"gene-Tsubulata_000460"	0.254977976243986	0.431529691933391
"306"	"gene"	"gene-Tsubulata_000461"	NA	NA
"307"	"gene"	"gene-Tsubulata_000462"	NA	NA
"308"	"gene"	"gene-Tsubulata_000464"	0.79546904659564	0.876403883373502
"309"	"gene"	"gene-Tsubulata_000465"	0.0184035219567432	0.0763983038220128
"310"	"gene"	"gene-Tsubulata_000469"	0.0651959883250537	0.176938069850525
"311"	"gene"	"gene-Tsubulata_000472"	0.170499257615732	0.336314117111046
"312"	"gene"	"gene-Tsubulata_000473"	NA	NA
"313"	"gene"	"gene-Tsubulata_000475"	0.0595963292920119	0.166761176478358
"314"	"gene"	"gene-Tsubulata_000483"	0.000526309293888305	0.0113982934267298
"315"	"gene"	"gene-Tsubulata_000486"	0.515281371662094	0.671370955595037
"316"	"gene"	"gene-Tsubulata_000490"	NA	NA
"317"	"gene"	"gene-Tsubulata_000494"	0.00723818135278353	0.0432042634748783
"318"	"gene"	"gene-Tsubulata_000495"	0.284971224994222	0.462896076303957
"319"	"gene"	"gene-Tsubulata_000505"	0.746015315626194	0.842076164015454
"320"	"gene"	"gene-Tsubulata_000510"	0.0187989169650207	0.0773049225685942
